REFCODE,SCP,LCD,PLD,Va,Density,ASA,VF,KH311,300,305,310,315,320,325,330,335,340,345,350,353,adsH,dW
SOQDEI_clean.cif,25.18122981,5.35756,3.87599,0.402499,1.01764,1464.85,0.562708,0.542703459,-7.404503778,-8.73754891,-7.262807357,-7.638272164,-6.853871964,-7.829738285,-7.735182177,-8.386158178,-7.793174124,-7.679853714,-9.665546249,-8.363512104,60.30635494,0.029416761
SARBOE.cif,16.07546625,4.84626,3.7137,0.213188,1.20269,627.694,0.474459,-0.587356365,-7.826813732,-8.26760624,-8.356547324,-8.634512015,-8.266000713,-7.882728704,-8.105130343,-8.835647144,-8.13430394,-8.578396073,-9.821023053,-8.681936665,60.28581805,0.032339913
YUSGID_clean.cif,10.00179586,4.4966,3.71515,0.0903688,1.44519,275.033,0.262637,-0.552331972,-7.863279433,-8.295849483,-8.906578315,-7.723538196,-9.425968732,-9.059981845,-9.772113295,-8.632644079,-10.04239271,-9.415668776,-10.02045163,-8.943095149,60.2673008,0.020228934
HAMREU_clean.cif,26.31078167,7.3712,5.24368,0.137942,1.79786,409.092,0.319218,-1.083407626,-8.18243463,-8.142667504,-8.790484985,-7.978810701,-7.4710833,-8.88941029,-7.707743929,-7.301899454,-9.038104526,-8.272458743,-8.950781977,-8.075720714,60.25709947,0.032100855
PIXPET_clean.cif,15.76189839,4.77527,3.86123,0.198195,1.1413,681.978,0.394303,0.242901535,-8.987162775,-9.482804102,-7.026872146,-7.576754126,-9.067526235,-8.68613278,-8.987162775,-7.673664139,-9.075720714,-8.782516056,-10.19654288,-8.798602876,60.20936467,0.030352788
BUWGAC_clean.cif,21.27063032,5.84364,5.51512,0.1695,1.43835,526.241,0.295088,-1.302841301,-7.320572103,-9.316952962,-7.283162277,-8.211831629,-8.448550002,-7.801342913,-7.458420756,-7.950781977,-8.958607315,-8.732828272,-7.524328812,-7.798602876,60.20297748,0.031019368
OCUGEZ_clean.cif,25.672196,5.75147,4.14737,0.28058,1.32226,858.328,0.490882,1.724305368,-7.596879479,-8.148130399,-7.227678293,-9.092588639,-7.966576245,-8.732828272,-7.8569852,-9.292429824,-9.090979146,-8.853871964,-9.821023053,-8.077793723,60.20275834,0.02900995
CIJVOH_clean.cif,35.62237828,5.46045,4.02121,0.331767,1.44318,1314.88,0.638851,-2.403998131,-5.866461092,-8.034798299,-7.73754891,-8.057495894,-7.860120914,-8.035269079,-8.01188716,-7.596879479,-8.46470588,-8.701146924,-9.26760624,-8.723538196,60.14134889,0.070122737
SAMLAV02_clean.cif,32.00044249,5.8468,4.18893,0.333573,1.19854,1145.48,0.526124,-1.283893941,-7.254925208,-8.329754147,-8.600326279,-8.096910013,-8.027797162,-7.07211659,-8.212539525,-8.324221658,-9,-8.744727495,-9.364516253,-8.308034897,60.05364538,0.039889293
ECEZAO_clean.cif,3.258579592,4.7908,3.98291,0.183812,1.42755,591.742,0.406324,0.435406348,-9.021363052,-8.397940009,-7.199970641,-8.35261703,-8.230622674,-7.330683119,-9.139063379,-8.07007044,-7.229884705,-8.756961951,-8.522878745,-8.675717545,60.04940423,0.014747289
RUWXAJ_clean.cif,3.590486392,5.30021,3.87475,0.146047,1.53238,450.24,0.323156,0.096235464,-8.187755303,-9.931814138,-9.262012674,-9.11407366,-8.164309429,-9.068033885,-7.518557371,-7.559090918,-7.536107011,-8.501689446,-9.053056729,-8,60.0233289,0.014367627
WASTUG_clean.cif,23.41421112,10.44894,7.2295,0.335803,1.59439,1208.19,0.626919,9.176091259,-8.092051478,-8.501689446,-7.696803943,-7.903089987,-7.795880017,-6.93930216,-7.655607726,-8.43062609,-7.779891912,-7.970616222,-9.225483034,-7.935542011,60.01061017,0.035275164
KAYBIX_clean.cif,24.46646009,5.6615,5.22194,0.302046,1.21439,934.318,0.573401,0.596786165,-7.844663963,-6.023191663,-7.991399828,-8.507239611,-7.863279433,-7.616184634,-7.872895202,-8.127843727,-8.227678293,-7.962573502,-8.242603971,-7.954677021,59.99962303,0.027351044
IBASEL_clean.cif,13.69541706,7.42906,5.27946,0.138806,1.77226,424.048,0.319684,-1.274418296,-8.785156152,-9.108462542,-8.438898616,-8.928117993,-8.962573502,-8.716698771,-8.562249437,-8.203425667,-8.024568191,-8.649751982,-8.219682688,-8.220403509,59.99045881,0.030557111
REYPIW_clean.cif,8.271655213,5.41258,4.79879,0.29251,1.18423,1052.18,0.479178,0.198354625,-7.420216403,-6.428291168,-5.8569852,-7.943095149,-6.628932138,-7.54668166,-7.714442691,-7.769551079,-7.536107011,-7.537602002,-9.614393726,-7.424812155,59.97131619,0.016786264
RESSAK_clean.cif,25.08733581,4.99967,3.47598,0.197317,1.17983,574.173,0.366343,1.358412689,-8.882728704,-8.476253533,-8.118615343,-8.632644079,-7.721246399,-8.079354999,-8.508638306,-8.610833916,-8.437707136,-8.619788758,-10.09258864,-7.835647144,59.89228529,0.024318136
